study_id,title,description
EGAS00001003816,epigenetic  metabolomic data  type 2 diabetes adolescents,
EGAS00001003766,diverse outcomes  controlled human malaria infection originate  host intrinsic immune variation   var gene switching,"Falciparum malaria is clinically heterogeneous and the relative contribution of parasite and host factors in shaping disease severity remains unclear. We set out to explore the interaction between host inflammation and parasite variant surface antigen (VSA) expression, asking whether this relationship underpins the variation observed in controlled human malaria infection. We uncovered marked heterogeneity in the response of naive hosts to blood challenge with some volunteers maintaining a state of immune quiescence, others triggering interferon-stimulated inflammation and a small group showing transcriptional evidence of myeloid cell suppression. Significantly, only inflammatory volunteers experienced hallmark symptoms of clinical malaria. When we then tracked temporal changes in parasite VSA expression to ask whether variants associated with severe disease preferentially expand in naive hosts (as predicted by current theory) we found that var gene profiles were essentially unchanged after 10-days of blood-stage infection. These data therefore show that the diverse clinical outcomes of CHMI largely originate from host-intrinsic variation and there is no evidence for switching or selection of var genes in naïve hosts. This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001004354,h3 3g34w promotes growth  impedes differentiation  osteoblast  mesenchymal progenitors  giant cell tumour   bone,
EGAS00001004824,reconstruction  human phylogenetic trees  single cell genome sequencing,"The trillions of cells that constitute the human body are developed from a fertilized egg through embryogenesis. However, cellular dynamics and developmental outcomes of embryonic cells remain to be largely unknown due to the technical and ethical challenges. Here we sequenced whole-genomes single-cell-derived clones and various bulk tissues dissected from entire human bodies. Using the discovered somatic mutations as an intrinsic barcode, we reconstructed cellular phylogenetic trees that provide novel insights into early human embryogenesis."
EGAS00001003561,three dimensional chromatin landscapes  human early embryos  single cell resolution,"Rapid progresses in the chromosome conformation capture technique accelerate our understanding of three-dimentional architecture of chromatin in cell nucleus. To achieve the distant fine regulation, the genome organized into a series of compartments, topologically associating domains (TADs) and loops at different genomic scales, in which the spatial distance decreases between distinct regulatory regions. The dynamics of highly-ordered genome after fertilization have been extensively explored in model animal system, which revealed that the establishment of genomic compartmentalization gradually occurred after zygote gene activation meanwhile partially independent of transcription. However, it remains unclear how the chromatin architecture is built during human preimplantation embryos development. By single-cell Hi-C, we investigate the feature of chromatin conformation in this crucial process and compare the conservation extent between human and mouse."
EGAS00001003806,integration  intra sample contextual error modeling  improved detection  somatic mutations,
EGAS00001000146,exome sequencing  poor prognosis acute myeloid leukaemia,"We plan to sequence the exomes of 4 AML cases (tumour and germline) in an effort to discover new mutations in this disease that could improve our understanding of leukaemogenesis and guide the development of new targeted therapies. The Sanger Institute will sequence the exomes of 4 Acute Myeloid Leukaemia cases including tumour and germline DNA so that somatically-acquired, AML-specific mutations can be accurately designated."
EGAS00001001116,esgi  genome sequencing  samples   cilentogen isolates,Deep whole genome sequencing of sampels from the Cilento isolates. The samples are sequenced using the Illumina HiSeq X Ten system.
EGAS00001001117,esgi  genome sequencing  nsphs samples,Whole genome sequencing of sampels from the NSPHS cohort. The samples are sequenced using the Illumina HiSeq X Ten system.
EGAS00001002311,icgc pancreatic cancer study,NA
EGAS00001000099,exome sequencing   novel primary t cell immunideficiency kindred,"Primary T cell immuodeficiency disorders have a heterogeneous genetic basis.  This study will focus on one case characterised by severe T cell lymphopenia in the index case.  We aim to sequence the complete exomes of this individual, her three unaffected siblings and parents in an effort to identify the causative genetic mutation responsible for this disorder.  We will perform exome capture using Agilent SureSelect system, followed by sequencing on the HiSeq platform.  Our study has the potential to uncover genes important for T cell development and novel therapeutic strategies to treat T cell immunodeficiencies."
EGAS00001000100,exome sequencing  identify   leukaemia predisposing congenital neutropenias,"The objective of this study is to identify the causative genes in two unrelated congenital neutropenia families.  We aim to whole exome sequence the affected individuals, unaffected siblings and parents in both cases in an effort to idenitfy the causative genetic mutation.  Exome capture will be performed using Agilent SureSelect system.  Subsequently, exome libraries will sequenced using the Illumina HiSeq platform.  Sequence variant calling will be done in house and common variants excluded using public databases and data from unaffected family members."
EGAS00001001125,esgi  genome sequencing  samples   orcades cohort x10,"Deep whole genome sequencing of sampels from the Orkney Complex Disease Study (ORCADES), each with data on up to 300 quantitative traits and other risk factors associated with cardiovascular, metabolic and other complex diseases. The samples are sequenced using the Illumina HiSeq X Ten system."
EGAS00001001123,esgi  genome sequencing  samples   ingi val borbera genetic isolate x10,Whole genome sequencing of sampels from an isolated population from the Val Borbera valley in Italy. The samples are sequenced using the Illumina HiSeq X Ten system.
EGAS00001002463,chip seq  gof p53 mutants,"Gain-of-function TP53 mutations were detected in 41.3% of cases, in which co-occurring del(17p) underscored a dominant effect in &gt;25%. Missense mutations of TP53 clustered within the core DNA-binding domain, where R249S was most common. To explore the transcriptional effect of mutant p53(R249S), we performed chromatin immunoprecipitation-sequencing in the HCC cell line HKCI-11, which has a p53(R249S) mutation, and the human hepatocyte line MIHA, which is p53(WT). The results revealed distinct binding profiles between wildtype p53 and p53 mutant."
EGAS00001001855,low input lc wgs,R&amp;D project to develop low input library construction methods.
EGAS00001004583,hydroxycarbamide   dna methylation  gene expression  mpn patients,"Hydroxycarbamide (HC), is a cytoreductive drug frequently used to control cell blood counts in patients with myeloproliferative neoplasms (MPNs).To further explore the effects of HC in MPN patients, we performed DNA methylation and gene expression profiling of two differentially developed and clinically relevant cell types, both before and following HC exposure."
EGAS00001004359,sequencing   adolescent patient  germline ret mutant alveolar rhabdomyosarcoma,
EGAS00001003817,functional analysis  gata2 synonymous mutations,"Germline mutations in SAMD9 and SAMD9L (SAMD9/9L) genes predispose to myelodysplastic syndromes (MDS) and show high prevalence in pediatric MDS with monosomy 7. Here, we studied an international cohort of children with primary MDS to assess the prevalence, hematological features, genetics, clonal evolution and clinical outcome in patients with germline SAMD9/9L mutations compared to pediatric MDS with either germline GATA2 mutations or pediatric MDS with wildtype status in SAMD9/9L and GATA2 genes"
EGAS00001004360,geneseeq test,just a test
EGAS00001004575,exome  transcriptome sequencing  desmoplastic small round cell sarcoma,"To conduct exome and transcriptome profiling to identify secondary recurrent mutations, multi-site phylogenetic analyse and immune characterization of Desmoplastic Small Round Cell Sarcoma."
EGAS00001003562,single cell genomic  transcriptomic landscapes  primary  metastatic tumors  colorectal cancer,"Here we performed a single-cell RNA-Seq survey of 7,438 cells from 9 metastatic CRC patients, from whom matching adjacent normal tissues, primary tumors, and metastatic tumors were simultaneously sampled. Moreover, we also performed whole genome sequencing (WGS) on 81 sampled regions of these 9 patients and multi-region whole exome sequencing (WES) on 35 sample regions from 3 of these patients (patient #7-#9). We analyzed the dynamics of cell-type compositions, genomic copy number variants (CNVs), gene expression signatures, crosstalk between cancer cells and microenvironment cells and somatic mutations during CRC tumorigenesis and metastasis."
EGAS00001004577,ky249,KY249
EGAS00000000024,wtccc case control study  breast cancer,WTCCC genome-wide case-control association study for Breast cancer (BC) using the 1958 British Birth Cohort collection as controls.
EGAS00001003752, rare  common genetic variants contribute  autism   faroe islands,
EGAS00001003731,dna methylation loss coupled  mitotic cell division promotes immune evasion  tumours  high mutation load,"Mitotic cell division increases tumour mutation burden and copy number load with a positive and inverse correlation, respectively, with the clinical benefit of immunotherapy. Markers of cell division correlate also with genomic demethylation involving methylation loss in late-replicating partial methylation domains. Here we find that immunomodulatory pathway genes are concentrated in these domains and transcriptionally repressed in demethylated tumours with CpG island promoter hypermethylation. Global methylation loss correlated with immune evasion signatures independently of mutation burden and aneuploidy. Methylome data of our cohort (n = 60) and a published cohort (n = 81) in lung cancer and a melanoma cohort (n = 40) consistently demonstrated that genomic methylation alterations counteract the contribution of high mutation burden and increase immunotherapeutic resistance. Higher predictive power was observed for methylation loss than mutation burden. We also found that genomic hypomethylation correlates with the immune escape signatures of aneuploid tumours. Hence, DNA methylation alterations implicate epigenetic modulation as a combination regimens for precision immunotherapy."
EGAS00001001271,chip seq tregs,"This project includes functional genomic data derived from regulatory T cells from 80 healthy individuals. This includes genotypes from illuminaCoreExome platform, RNA-seq, ChIP-seq and ATAC-seq data.This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/"
EGAS00001004363,comprehensive genomic characterization  refractory multiple myeloma reveals  complex mutational  structural landscape associated  drug resistance h067,
EGAS00001002094,genomic  epigenomic features  primary  recurrent hepatocellular carcinomas,"Intratumor heterogeneity and divergent clonal lineages within and among primary and recurrent hepatocellular carcinomas (HCCs) produce challenges to patient management. We investigated genetic and epigenetic variations within liver tumors, among hepatic lesions, and between primary and relapsing tumors. We performed whole-genome, whole-exome, or targeted capture sequencing analyses HCC specimens collected from multiple tumor regions and matched initial and recurrent tumors to obtain a systematic evaluation of intra- and intertumor genetic heterogeneity in HCC samples and to identify genetic changes associated with tumor progression and recurrence."
EGAS00001003387,single cell rna sequencing   genome sequencing   cells    sample   triple negative patient derived xenograft  ovarian cancer cell lines,"Measuring gene expression of genomically defined tumour clones at single cell resolution would associate functional consequences to somatic alterations, as a prelude to elucidating pathways driving cell population growth, resistance and relapse. In the absence of scalable methods to simultaneously assay DNA and RNA from the same single cell, independent sampling of cell populations for parallel measurement of single cell DNA and single cell RNA must be computationally mapped for genome-transcriptome association. Here we present clonealign, a robust statistical framework to assign gene expression states to cancer clones using single-cell RNA-seq and DNA-seq independently sampled from an heterogeneous cancer cell population. We apply clonealign to triple-negative breast cancer patient derived xenografts and high-grade serous ovarian cancer cell lines and discover clone-specific dysregulated biological pathways not visible using either DNA-Seq or RNA-Seq alone."
EGAS00001003822,epigenomics  single cell sequencing define  developmental hierarchy  langerhans cell histiocytosis,"Langerhans cell histiocytosis (LCH) is a rare neoplasm predominantly affecting children. It occupies a hybrid position between cancers and inflammatory diseases, and it provides an attractive model for studying cancer development. To explore the molecular mechanisms underlying the pathophysiology of LCH and its characteristic clinical heterogeneity, we investigated the transcriptomic and epigenomic diversity in primary LCH lesions. Using single-cell RNA sequencing, we identified multiple recurrent types of LCH cells within these biopsies, including putative LCH progenitor cells and several subsets of differentiated LCH cells. We confirmed the presence of proliferative LCH cells in all analysed biopsies using immunohistochemistry, and we defined   an epigenomic and gene-regulatory basis of the different LCH cell subsets by chromatin accessibility profiling. In summary, our single-cell analysis of LCH uncovered an unexpected degree of cellular, transcriptomic, and epigenomic heterogeneity among LCH cells, indicative of complex developmental hierarchies in LCH lesions."
EGAS00001004365,candidate gene case control study  human african trypanosomiasis   democratic republic  congo,
EGAS00001000097,chromatin profiling  twins,"50 lymphoblastoid cell lines of adult female Twins which are part of the MuTHER study, processed with the FAIRE assay in order to generate maps of open chromatin."
EGAS00001000098,chromatin profiling  twins,"50 lymphoblastoid cell lines of adult female Twins which are part of the MuTHER study, subjected to  Chromatin Immunoprecipitation  using an antibody for H3K4me1. H3K4me1 peaks mark distal regulatory  elements."
EGAS00001000352,epilepsy  sudden death,These samples include exome sequences of samples from patients who suffered Sudden Unexplained Death in Epilepsy
EGAS00001003824, mouse model xenograft  developed   patient  head  neck squamous cell cancer   treated  drugs targeting  pik3ca pathway,"Mutations and amplifications in the PIK3CA gene are some of the most frequently seen alterations in head and neck squamous cell cancer (HNSCC). This project study the effect of a leading clinical drug that specifically targets the gene product of PIK3CA. Although this drug works well in HNSCC, it is anticipated that some patients will become resistant to it over time and will stop responding, as this has been observed when other 'targeted' drugs are used in other cancers. The goal here is to determine what molecular mechanisms are involved with mediating resistance over time to the PIK3CA drug. The drug is called ""BYL719"". A mouse xenograft model was created in this effect. Basically, a tumour from a patient with HNSCC was engrafted in multiple mice, and once it grew, the mice were treated with BYL719 or a vehicle (corn oil). Over time, the corn oil mice's tumours grow very quickly. The BYL719-treated mice's tumours are static for about the first 50 days of treatment (suggesting the drug is quite effective), but then begin to resume growth (suggesting they have become resistant to the drug). With the tumours collected from the mice at the end point of the study, we are using a multi-platform approach to figure out what the differences are in the BYL719-resistant tumours, compared to the corn oil tumours, primary tumour (never engrafted into mice) and the patient blood."
EGAS00001004434, egyptian collaborative cardiac genomics ecco gen project defining  healthy volunteer cohort,"The integration of comprehensive genomic and phenotypic data from diverse ethnic populations offers unprecedented opportunities towards advancements in precision medicine and novel diagnostic technologies. Current reference genomic databases are not representative of the global human population, making variant interpretation challenging, especially in underrepresented populations such as the North African population. To address this, the Egyptian Collaborative Cardiac Genomics (ECCO-GEN) Project launched a study comprising 1000 individuals free of cardiovascular disease (CVD). Here, we present the first 391 Egyptian healthy volunteers (EHVols) recruited to establish a pilot phenotyped control cohort. All individuals underwent detailed clinical investigation, including cardiac MRI, and were sequenced using a targeted panel of 174 genes with reported roles in inherited cardiac conditions (ICC). We identified 1,262 variants in 27 cardiomyopathy genes of which 15.1% were not captured in current global and regional genetic reference databases (here: gnomAD and Great Middle Eastern (GME) Variome). The ECCO-GEN project aims at defining the genetic landscape of an understudied population and providing individual-level genetic and phenotypic data to support future studies in CVD and population genetics."
EGAS00001004456,comparative analysis  somatic variant calling  matched   ffpe wgs samples,"This study aims at assessing whether FFPE material can be used for cohort analysis. To this end, we performed an in-depth comparison of somatic SNVs called on matching FF and FFPE whole genome sequences samples extracted from the same metastatic prostate tumor. 
Four variant callers were used to call somatic variants on both the FF and the FFPE samples. An heuristic was developed to maximize the overlap between the FF and its FFPE counterparts. Then, the extent to which intra-tumor heterogeneity explains discrepancies in variants called between the FF and the FFPE samples was assessed by comparing the clonal and subclonal somatic variants. 
This study illustrates that when using the correct variant calling strategy, the majority of clonal SNVs can be recovered in an FFPE sample with high precision and sensitivity. These results suggest that somatic variants derived from WGS of FFPE material can be used in cohort studies."
EGAS00001002321,functional genomics approaches  understand osteoarthritis,"The aim of this work is to apply an integrated systems approach to understand the biological underpinnings of large joint (hip and knee) osteoarthritis which culminates in the need for total joint replacement (TJR). We will obtain diseased and non-diseased cartilage as well as other disease-relevant tissue following TJR, coupled with a blood sample. We will generate genotype data and will characterise the pairs of diseased and non-diseased tissue samples in terms of methylation, transcription (RNASeq) and expression (quantitative proteomics).  We will apply integrative approaches to combine information across the –omics levels to characterise genes, pathways, and networks that underlie osteoarthritis progression.
This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute please see http://www.sanger.ac.uk/datasharing/"
EGAS00000000075,arid1a mutations  endometriosis associated ovarian carcinomas,"We have sequenced the whole transcriptomes of 18 ovarian clear-cell carcinomas and 1 ovarian clear-cell carcinoma cell line and found somatic mutations in ARID1A (the AT-rich interactive domain 1A [SWI-like] gene) in 6 of the samples. ARID1A encodes BAF250a, a key component of the SWIâ€“SNF chromatin remodeling complex. We sequenced ARID1A in an additional 210 ovarian carcinomas and a second ovarian clear-cell carcinoma cell line and measured BAF250a expression by means of immunohistochemical analysis in an additional 455 ovarian carcinomas"
EGAS00001005390, generation children project  genome sequencing study  patients  picu,Here we describe our rapid method to sequence sick patients and attempt to diagnose any genetic aetiology associated with the sickness
EGAS00001004483,adult t cell leukemia lymphoma targeted sequencing,
EGAS00001003648, genome sequencing   ethnic groups  burkina faso cameroon  tanzania,"We conducted low-coverage (~10x) sequencing of six ethnic groups from three malaria-endemic countries in
sub-Saharan Africa, with the aim of characterising genetic diversity and improving imputation performance
for genotyped samples in these populations.  This data is part of a pre-publication
release and is available under managed access.  Please see https://www.malariagen.net/data/terms-use/human-gwas-data for
more information on MalariaGEN data access policies.

The purpose of the project was to support the discovery and understanding of genetic variants that influence human
disease.  Specifically defined goals were:

  a. the discovery of single nucleotide variants at frequencies of 1% or higher in diverse populations,
  b. even more comprehensive discovery (variants down to frequencies of 0.1 - 0.5%) in functional gene regions, and
  c. discovery of structural variants, such as copy number variants, other insertions and deletions, and inversions, including sequence-level understanding of breakpoints."
EGAS00001003482,dissecting features  epigenetic variants underlying cardiometabolic risk  full resolution epigenome profiling  regulatory elements,
EGAS00001005344,polyamine metabolism   human placenta,Polyamine metabolism in the human placenta
EGAS00001005341,wgs leiomyosarcoma subtypes,
EGAS00001003828,genomic landscape  pd 1 blockade  natural killer t cell lymphoma,"Natural killer/T-cell lymphoma (NKTL) is an aggressive malignancy with a predilection for Asian, Mexican and South American populations. With the exception of Japan, it is the most common mature T-cell lymphoma in Asia. NKTL presents as extranodal disease and mostly affects the upper aerodigestive tract. Neoplastic cells are invariably infected by the Epstein-Barr virus (EBV) and characterized by a cytotoxic phenotype. The genetic landscape of NKTL has been recently unraveled by discoveries describing recurring mutations altering the JAK-STAT pathway, epigenetic modifiers, the DDX3X gene and genetic predisposition in the HLA-DPB1 gene.The genomic landscape of NKTL has been interrogated by whole-exome sequencing, targeted sequencing and single nucleotide polymorphism arrays, but has yet been studied with whole-genome sequencing (WGS). In this study, we will use a combination of WGS, targeted-capture sequencing (TCS) and RNA sequencing data to explore the genetic landscape and its relevance to immunotherapy in NKTL"
EGAS00001003829,clonal evolution  myelofibrosis  ruxolitinib therapy,
EGAS00001005399,pelican33 longitudinal clinical  autopsy phenomic assessment  lethal metastatic prostate cancer,"Objective: To identify novel phenotypes and features associated with metastatic prostate cancer (mPC) outcome, and to identify biomarker and data requirements to be tested in future precision oncology trials.

Design, Setting, and Participants: We analyzed deep longitudinal clinical, neuroendocrine expression, and autopsy data of 33 men who died from mPC between 1995 and 2004 (PELICAN33), and related findings to mPC biomarkers reported in the literature.

Intervention: 33 men prospectively consented to participate in an integrated clinical-molecular rapid autopsy study of mPC."
EGAS00001004748,small molecule screen reveals synergy  cell cycle checkpoint kinase inhibitors  dna damaging chemotherapies  medulloblastoma rnaseq dataset,
EGAS00001000426,triple negative breast cancer  genome validations,We propose to definitively characterise the somatic genetics of Triple negative breast cancer through generation of comprehensive catalogues of somatic mutations in 500 cases by high coverage genome sequencing coupled with integrated transcriptomic and methylation analyses. This study will use a bespoke bait set to pulldown regions of interest found in whole genome sequencing to validate mutations found.
EGAS00001005255,comparison  capture based method  transcriptome profiling  formalin fixed paraffin embedded tumor samples,"Background: The need for fresh frozen (FF) tissue limits implementing RNA sequencing (RNA-seq) in the clinic. The majority of clinical samples are stored as formalin-fixed, paraffin-embedded (FFPE) tissues. Exome capture platforms have been developed for RNA-seq from FFPE samples. However, these methods have not been systematically compared.
Methods: Transcriptomic analysis of 32 FFPE tumor samples from 11 patients was performed using three exome capture-based methods: Agilent SureSelect V6, TWIST NGS Exome, and IDT XGen Exome Research Panel. We compared these methods to TruSeq RNA-seq of fresh frozen (FF-TruSeq) tumor samples from the same patients. We assessed the recovery of clinically relevant biological features. 
Results: The Spearman's correlation coefficients between the global expression profiles of the three capture-based methods from FFPE and matched FF-TruSeq were high (rho = 0.72-0.9, p &lt; 0.05). A significant correlation between the expression of key immune genes between individual capture-based methods and FF-TruSeq (rho = 0.76-0.88, p &lt; 0.05) was observed. All exome capture-based methods reliably detected outlier expression of actionable genes, including ERBB2, MET, NTRK1, and PPARG. In urothelial cancer samples, the Agilent assay was associated with the highest molecular subtype concordance with FF-TruSeq (Cohen's k = 0.7, p &lt; 0.01). Both Agilent and IDT detected all the clinically relevant fusions that were initially identified in FF-TruSeq. 
Conclusion: All exome capture-based methods had comparable performance and concordance with FF-TruSeq. By enabling the interrogation of FFPE tumor samples, our findings will enable the implementation of RNA-seq in the clinic to guide precision oncology approaches."
EGAS00001005557,nsclc wes wgs,"The tumour microenvironment (TME) represents a complex cellular ecosystem that includes endothelial cell, fibroblasts, tumour cells, lymphoid cells, myeloid cells, etc. While the focus of this programme of work is on the characterisation of the myeloid compartment and MDSCs we will also examine interaction of these cells with TME cells in NSCLC. Finally, part of each tumour sample will be used for whole exome sequencing (WES) to evaluate tumour mutation burden (TMB)."
EGAS00001003832,delineating intratumoural heterogeneity  neoantigen directed immune escape  esophageal squamous cell carcinoma,Delineating intratumoural heterogeneity and neoantigen-directed immune escape in Esophageal Squamous Cell Carcinoma
EGAS00001004313,gradient  developmental  injury response transcriptional states defines roots  glioblastoma heterogeneity,XXX
EGAS00001003833,genetic heterogeneity highlighted  differential fdg pet response  diffuse large  cell lymphoma,"The impact of spatial or intra-tumor heterogeneity (ITH) on treatment failure in DLBCL has been overlooked, reflecting a reliance on the diagnostic biopsy.  This study examined ITH in diffuse large B cell lymphoma (DLBCL) by profiling four different sites of disease from a single patient that demonstrated a spatially discordant response to immuno-chemotherapy. The cell of origin differed across the sites of disease, with the chemosensitive inguinal tumor classified as germinal center type (GCB) and the chemorefractory disease above the diaphragm as either activated B cell type (ABC) or unclassified DLBCL. All biopsies shared mutations in CREBBP, KMT2D and CARD11 supporting their role as early driver events with the inguinal (EZH2, STAT6, GNA13, IRF8, PIK3CD) and mediastinal (TP53) sites evolving separately. The study case sheds light on the underlying genetic ITH in patients with a discordant response to treatment and suggests that a single biopsy may not capture the full genomic complexity present and spatial variations need to be considered in biomarker-led clinical studies."
EGAS00001003830,deep multi region  genome sequencing reveals heterogeneity  gene  environment interactions  treatment naive metastatic lung cancer,"Our understanding of genomic heterogeneity in lung cancer is largely based on the analysis of early-stage surgical specimens. Here we used endoscopic sampling of paired primary and intrathoracic metastatic tumors from 11 lung cancer patients to map genomic heterogeneity inoperable lung cancer with deep whole-genome sequencing. Intra-patient heterogeneity in driver or targetable mutations was predominantly in the form of copy number gain. Private mutation signatures, including patterns consistent with defects in homologous recombination, were highly variable both within and between patients. Irrespective of histotype, we observed a smaller than expected number of private mutations, suggesting that ancestral clones accumulated large mutation burdens immediately prior to metastasis. Single-region whole-genome sequencing of from 20 patients showed that tumors in ever-smokers with the strongest tobacco signatures were associated with germline variants in genes implicated in the repair of cigarette-induced DNA damage. Our results suggest that lung cancer precursors in ever-smokers accumulate large numbers of mutations prior to the formation of frank malignancy followed by rapid metastatic spread. In advanced lung cancer, germline variants in DNA repair genes may interact with the airway environment to influence the pattern of founder mutations, whereas similar interactions with the tumor microenvironment may play a role in the acquisition of mutations following metastasis."
EGAS00000000114,krakow experiment northern finland birth cohort 1966,
EGAS00001003231,gain  function dnmt3a mutations  microcephalic dwarfism  hypermethylation  polycomb regulated regions,"DNA methylation and Polycomb are key factors in the establishment of vertebrate cellular identity and fate. Here we report de novo missense mutations in DNMT3A, encoding the DNA methyltransferase DNMT3A, that cause microcephalic dwarfism, a hypocellular disorder of extreme global growth failure. Substitutions in the PWWP domain abrogate binding to the histone modifications H3K36me2/3, and alter DNA methylation in patient cells. Polycomb-associated DNA methylation canyons/valleys, hypomethylated domains encompassing developmental genes, become methylated with concomitant depletion of H3K27me3 and H3K4me3 bivalent marks. Such de novo DNA methylation occurs during differentiation of Dnmt3aW326R pluripotent cells in vitro, and is also evident in Dnmt3aW326R/+ dwarf mice. We therefore propose that the interaction of the DNMT3A PWWP domain with H3K36me2/3 normally limits DNA methylation of polycomb-marked regions.  Our findings implicate the interplay between DNA methylation and polycomb at key developmental regulators as a determinant of organism size in mammals."
EGAS00000000132, haemgen rbc study,"Anaemia is a major determinant of global ill-health. To refine our understanding of the genetic factors influencing red blood cell formation and function, we carried out a meta-analysis of genome-wide association studies (GWAS) for six red blood cell traits: haemoglobin (HB), mean cell haemoglobin (MCH), mean cell haemoglobin concentration (MCHC), mean cell volume (MCV), packed cell volume (PCV) and red blood cell count (RBC). We provide genome-wide association results for 62,553 people of European ancestry using up to 2,644,161 autosomal SNPs. Participants with extreme measurements (>+/-3SD from mean) were excluded on a per phenotype basis. Imputation was done using haplotypes from HapMap Phase 2. SNP associations with each phenotype were tested by linear regression using an additive genetic model. Associations were tested separately in each cohort, with principal components and other study specific factors as covariates to account of population substructure. We then carried out meta-analysis of results from the individual cohorts using z-scores weighted by square root of sample size. SNPs with MAF<1% (weighted average across cohorts) were removed, as were SNPs with weight <50% of phenotype sample size.  
  
  
  
  
  
  
  
  
  
  
  
  
  Anaemia is a major determinant of global ill-health. To refine our understanding of the genetic factors influencing red blood cell formation and function, we carried out a meta-analysis of genome-wide association studies (GWAS) for six red blood cell traits: haemoglobin (HB), mean cell haemoglobin (MCH), mean cell haemoglobin concentration (MCHC), mean cell volume (MCV), packed cell volume (PCV) and red blood cell count (RBC). We provide genome-wide association results for 62,553 people of European ancestry using up to 2,644,161 autosomal SNPs. Participants with extreme measurements (>+/-3SD from mean) were excluded on a per phenotype basis. Imputation was done using haplotypes from HapMap Phase 2. SNP associations with each phenotype were tested by linear regression using an additive genetic model. Associations were tested separately in each cohort, with principal components and other study specific factors as covariates to account of population substructure. We then carried out meta-analysis of results from the individual cohorts using z-scores weighted by square root of sample size. SNPs with MAF<1% (weighted average across cohorts) were removed, as were SNPs with weight <50% of phenotype sample size.  
  
  
  
  
  
  
  
  
  
  
  
  
  "
EGAS00001003834,genomic analysis  primary plasma cell leukemia reveals complex structural alterations  high risk mutational patterns,Primary plasma cell leukemia (pPCL) is a rare and aggressive form of multiple myeloma (MM) that is characterized by circulating plasma cells. Overall survival remains poor despite advances of anti-MM therapy. In an attempt to identify key biological mechanisms that result in the aggressive pPCL phenotype we performed whole exome sequencing of 23 patients with pPCL. For matched non-tumor control for each patient to exclude germline variants we used CD34+ cells from stem cell harvest (n=20) or cells obtained from buccal swabs (n=3). Tumor samples were from bone marrow derived CD138+ cells. Tumor samples were compared to the germline control to identify somatic abnormalities.
EGAS00001004555,clinical outcomes  tumor mutational burden  inflammatory gene expression  combined nivolumab  ipilimumab  monotherapy  advanced melanoma cm67 wes,"Purpose
Exploratory analyses of CheckMate 066 and 067 trials were conducted to investigate associations of tumor mutational burden (TMB), a 4-gene inflammatory gene expression signature, and BRAF mutation status with tumor response, progression-free survival (PFS), and overall survival (OS) in patients with advanced melanoma.
Patients and Methods
Patients with known programmed death ligand 1 (PD-L1) expression and BRAF mutation status received nivolumab (NIVO) or dacarbazine in CheckMate 066 and either NIVO, ipilimumab (IPI), or NIVO+IPI in CheckMate 067. Whole exome sequencing and RNA sequencing were used to determine TMB and inflammatory gene expression signature scores, respectively. These biomarkers were evaluated in terms of their association with PFS and OS.
Results
In the NIVO, NIVO+IPI, and IPI arms of CheckMate 067, longer survival was associated with high (&amp;amp;gt; median) versus low (≤ median) TMB with hazard ratios (HRs) (95% confidence interval [CI]) for PFS of 0.45 (0.30–0.65), 0.55 (0.38–0.81), and 0.60 (0.43–0.82), and for OS of 0.46 (0.30–0.71), 0.53 (0.34–0.82), and 0.52 (0.36–0.74), respectively. For NIVO-treated patients, these results were confirmed in CheckMate 066. A survival benefit was observed with high TMB and absence of BRAF mutation. Survival was associated with high versus low inflammatory signature scores with HRs (95% CI) for PFS of 0.56 (0.34–0.94), 0.40 (0.23–0.72), and 0.43 (0.27–0.70), and for OS of 0.37 (0.20–0.66), 0.38 (0.19–0.74), and 0.46 (0.27–0.79), in the NIVO, NIVO+IPI, and IPI arms, respectively. Weak correlations were observed between PD-L1, TMB, and the inflammatory signature.
Conclusions
Combined assessment of TMB, inflammatory gene expression signature, and BRAF mutation status may be predictive for response to immunotherapy in advanced melanoma."
